"charger_id","charger_name","lat","lon","charger_type","power_kw","connector","number_of_chargers","simultaneous_capacity","price_per_kwh","open_hour","public_private","taxi_access"
"seoul_owned_송월동차고지_4","송월동차고지","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_5","송월동차고지","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_8","송월동차고지","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_9","송월동차고지","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_10","송월동차고지","","","DC콤보","50","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_11","송월동차고지","","","DC콤보","50","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_12","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_13","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_14","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_15","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_16","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_17","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송월동차고지_18","송월동차고지","","","AC완속","7","AC완속","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_송정동주민센터_1","송정동주민센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산 근린공원 공영주차장_1","수락산 근린공원 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산 근린공원 공영주차장_2","수락산 근린공원 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산당고개공원_1","수락산당고개공원","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산당고개공원_2","수락산당고개공원","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산디자인거리_1","수락산디자인거리","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산디자인거리_2","수락산디자인거리","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산디자인거리 공영주차장_1","수락산디자인거리 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수락산스포츠타운_1","수락산스포츠타운","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_1","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_2","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_3","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_4","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_5","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수서역 공영주차장 복합충전소_6","수서역 공영주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_수유동 가오천 공영주차장 전기차 충전소_1","수유동 가오천 공영주차장 전기차 충전소","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_숭인도담공영주차장_1","숭인도담공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_시립서부노인전문요양센터_1","시립서부노인전문요양센터","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신대방동 거주자우선주차장_1","신대방동 거주자우선주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신도림역 공영주차장 _1","신도림역 공영주차장 ","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신도림역 공영주차장 _2","신도림역 공영주차장 ","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신사1동 공동주차장 _1","신사1동 공동주차장 ","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_신사1동 공동주차장 _2","신사1동 공동주차장 ","","","DC콤보","100","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_신월5동 복개 노상공영주차장_1","신월5동 복개 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신정4동길 노상공영주차장_1","신정4동길 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신정4동길 노상공영주차장_2","신정4동길 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_신창동 공영주차장_1","신창동 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_1","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_2","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
